ni,cu,mo,cr,fe,w,mn,si,c,al,ti,v,nb,ta,acid con,temp,Corr
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,20,87.5,0
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,25,87.5,0
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,30,87.5,0
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,35,87.5,0
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,40,87.5,0
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,45,87.5,0
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,50,87.5,0
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,55,87.5,1
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,60,87.5,1
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,65,87.5,1
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,70,87.5,1
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,75,87.5,1
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,80,87.5,1
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,85,87.5,1
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,90,87.5,1
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,90,87.5,1
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,5,100,0
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,10,100,0
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,15,100,0
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,20,100,0
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,25,100,0
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,30,100,0
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,35,100,0
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,40,100,0
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,45,100,1
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,50,100,1
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,55,100,1
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,60,100,1
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,65,100,1
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,70,100,1
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,75,100,2
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,80,100,2
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,85,100,2
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,90,100,2
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,90,100,2
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,5,112.5,3
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,10,112.5,3
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,15,112.5,3
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,20,112.5,3
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,25,112.5,3
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,30,112.5,3
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,35,112.5,3
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,40,112.5,3
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,45,112.5,2
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,50,112.5,2
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,55,112.5,2
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,60,112.5,2
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,65,112.5,2
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,70,112.5,2
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,75,112.5,2
